Nome,Categoria,Atualizada,Tamanho,Instalacoes,Versao Atual,Requer Android,Classificacao,Politica de Privacidade
MobCup,Personalization,"July 17, 2020",33M,"500,000+",7.3.0,5.0 and up,Users Interact,https://mobcup.net/privacy
Junaid Maknojiya,Personalization,"Eligible if bought after 7/2/2016.
","May 22, 2019",3.4M,"50,000+",2.1,4.1 and up,https://policies.google.com/privacy
Themes Time,Personalization,"July 29, 2020",6.7M,"1,000,000+",7.4,4.1 and up,Digital Purchases,https://policies.google.com/privacy
Nice Ringtones,Personalization,"June 22, 2020",12M,"1,000,000+",1.3,4.0 and up,Nice Ringtones,https://policies.google.com/privacy
MedPhone Tecnologia em Saúde,Medical,"August 8, 2020",77M,"10,000+",4.9.4,4.4 and up,R$21.90 - R$199.90 per item,https://policies.google.com/privacy
IMAIOS SAS,Medical,"June 22, 2020",81M,"100,000+",4.12.5,4.1 and up,In-App Purchases,https://policies.google.com/privacy
Magic Mobile Studio,Personalization,"July 6, 2020",13M,"1,000,000+",1.6.2,4.4 and up,Magic Mobile Studio,https://policies.google.com/privacy
pebmed,Medical,"August 4, 2020",68M,"100,000+",4.2.0,5.0 and up,In-App Purchases,https://policies.google.com/privacy
Catfish Animation Studio,Medical,"March 25, 2020",42M,"1,000,000+",2.0.7,5.1 and up,In-App Purchases,https://www.iubenda.com/privacy-policy/8155947
WeMEDS,Medical,"July 13, 2020",120M,"100,000+",2.0.10,4.1 and up,In-App Purchases,https://policies.google.com/privacy
PEBMED S.A.,Medical,"August 3, 2020",98M,"500,000+",7.12.0,5.0 and up,R$20.00 - R$436.90 per item,https://policies.google.com/privacy
"Antimicrobial Therapy, Inc.",Medical,"August 4, 2020",29M,"100,000+",4.2.3,6.0 and up,Digital Purchases,http://www.sanfordguide.com/about/legal/privacy-policy/
OdontoPrev S.A.,Medical,"August 12, 2020",13M,"500,000+",3.6.0,5.0 and up,OdontoPrev S.A.,https://policies.google.com/privacy
SulAmérica Seguros,Medical,"August 12, 2020",12M,"500,000+",3.5.1,4.4 and up,SulAmérica Seguros,https://policies.google.com/privacy
Medicina Prática,Medical,"August 13, 2020",84M,"5,000+",3.1 - Android Update,5.0 and up,In-App Purchases,https://policies.google.com/privacy
TEDMED,Medical,"October 11, 2019",80M,"10,000+",2.0.6,4.4 and up,Digital Purchases,https://policies.google.com/privacy
Interactive Specialized Software,Medical,"March 13, 2019",4.9M,"1,000,000+",1.4.0,4.0.3 and up,Interactive Specialized Software,https://policies.google.com/privacy
Plataforma Conexa Saúde,Medical,"July 20, 2020",84M,"100,000+",1.3.17,6.0 and up,Users Interact,https://policies.google.com/privacy
ViBe - VivaBem,Medical,"August 14, 2020",25M,"50,000+",2.0.0,5.0 and up,"Users Interact, In-App Purchases",https://app.vivabem.com/#!/privacy
Governo do Brasil,Medical,"July 30, 2020",41M,"1,000,000+",60.0.7,4.4 and up,Governo do Brasil,https://policies.google.com/privacy
Grupo NotreDame Intermédica Saúde S/A (GNDI),Medical,"August 5, 2020",14M,"1,000,000+",1.0.30,4.1 and up,Users Interact,https://policies.google.com/privacy
Mobile Dimension LLC,Medical,"August 5, 2020",80M,"5,000,000+",3.2.0.16,5.1 and up,R$4.19 - R$24.99 per item,https://policies.google.com/privacy
Domus Technica,Parenting,"July 26, 2018",19M,"10,000+",7.2.1,4.1 and up,R$3.59 per item,https://www.thewonderweeks.com/privacy-policy-app/
Penguin Apps,Parenting,"November 6, 2019",19M,"50,000+",2.1.5,4.1 and up,Users Interact,http://penguinapps.com.au/android/feedbaby/privacy.jsp
Mobile_V5,Photography,"May 22, 2020",5.9M,"10,000,000+",5.0.0.0,4.1 and up,Mobile_V5,https://s3.amazonaws.com/appprivacy/HDCameraPrivacyPolicy.txt
fluffyegg,Parenting,"Eligible if bought after 7/2/2016.
","August 13, 2020",Varies with device,"5,000+",Varies with device,Varies with device,https://babyledkitchen.co.uk/app-privacy-policy/
KX Camera Team,Photography,"June 19, 2020",20M,"10,000,000+",1.11.3,4.3 and up,KX Camera Team,http://privacypolicy.oss-us-west-1.aliyuncs.com/KXAppCenter.Inc./privacy.txt
SK Communications,Photography,"July 31, 2020",Varies with device,"100,000,000+",4.2.0,4.1 and up,"Users Interact, Digital Purchases",http://www.cymera.com/privacy/en
PinGuo Inc.,Photography,"January 7, 2020",13M,"1,000,000+",3.0.2,4.1 and up,In-App Purchases,http://www.camera360.com/privacy_lite_en.html
Beep Health Care on Demand,Medical,"July 23, 2020",27M,"100,000+",29.2.1,4.3 and up,Shares Location,https://policies.google.com/privacy
Benqu,Photography,"July 23, 2020",54M,"10,000,000+",3.1.9.418,4.3 and up,Benqu,https://www.wuta-cam.com/doc/privacy_policy_en.html
Perfect Mobile Corp.,Photography,"August 10, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,"Users Interact, Shares Info, Shares Location, Unrestricted Internet",https://www.perfectcorp.com/stat/BeautyCircle/enu/privacy.html?utm_source=ycp&utm_medium=android&utm_campaign=policypage
PinGuo Inc.,Photography,"July 31, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,"Users Interact, Digital Purchases",http://www.camera360.com/privacy_en.html
Meitu (China) Limited,Photography,"August 10, 2020",Varies with device,"10,000,000+",Varies with device,4.1 and up,R$3.79 - R$114.99 per item,http://appairbrush.com/en/privacy-policy/
Lyrebird Studio,Photography,"July 24, 2020",Varies with device,"100,000,000+",2.0.1,Varies with device,R$5.49 - R$96.99 per item,http://lyrebirdstudio.net/privacy.txt
"JP-brothers, Inc.",Photography,"August 13, 2020",Varies with device,"100,000,000+",Varies with device,4.1 and up,"JP-brothers, Inc.",http://candy.jp-brothers.com/candy/privacy-policy
NCT Corporation,Music & Audio,"August 14, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,In-App Purchases,https://policies.google.com/privacy
Sua Música: Baixar Musicas,Music & Audio,"August 7, 2020",15M,"10,000,000+",2.1.54,4.1 and up,R$3.89 per item,https://policies.google.com/privacy
Mobiuspace Tech Top Player,Music & Audio,"August 10, 2020",9.9M,"100,000,000+",4.4.3,4.2 and up,R$9.99 - R$34.99 per item,https://www.larkplayerapp.com/privacy
Revontulet Soft Inc,Music & Audio,"June 1, 2020",64M,"50,000,000+",7.4.8,5.0 and up,"Users Interact, Digital Purchases",http://www.revontuletsoft.com/privacy_walkband.html
Revontulet Soft Inc,Music & Audio,"June 1, 2020",47M,"50,000,000+",7.5.3,5.0 and up,"Users Interact, Shares Location, Digital Purchases",http://www.revontuletsoft.com/privacy_perfectpiano.html
Kolb Apps,Music & Audio,"August 13, 2020",38M,"50,000,000+",9.8.6,4.4 and up,In-App Purchases,http://www.kolbapps.com/privacy_policy_android.pdf
Transsnet Music Limited,Music & Audio,"July 24, 2020",25M,"50,000,000+",5.8.3,4.2 and up,"Users Interact, Digital Purchases",https://policies.google.com/privacy
Lyrebird Studio,Photography,"July 22, 2020",Varies with device,"50,000,000+",2.1.7,Varies with device,R$5.49 - R$119.00 per item,http://lyrebirdstudio.net/privacy.txt
Easybrain,Music & Audio,"August 12, 2020",32M,"50,000,000+",2.8.5,4.4 and up,In-App Purchases,https://easybrain.com/privacy
Music & Game Inc.,Music & Audio,"July 29, 2020",12M,"1,000,000+",1.1.5,4.1 and up,Music & Game Inc.,https://i.yyres.xyz/policies/privacy/us.html
Notes App,Music & Audio,"July 13, 2020",6.5M,"1,000,000+",1.2.6,4.1 and up,Notes App,https://sites.google.com/view/musicdownloader-privacy-policy
gspro,Music & Audio,"August 5, 2020",17M,"5,000,000+",1.1.5,5.0 and up,Unrestricted Internet,https://policies.google.com/privacy
Free music player creator,Music & Audio,"July 28, 2020",14M,"10,000,000+",2.1.6,4.1 and up,Free music player creator,https://policies.google.com/privacy
Google LLC,Music & Audio,"August 13, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,"Users Interact, Digital Purchases",http://www.google.com/intl/en/policies/privacy/
Ernestapp,Music & Audio,"July 28, 2020",8.3M,"1,000,000+",3.9,4.1 and up,Ernestapp,https://policies.google.com/privacy
Sofeh Sunrise,Music & Audio,"May 28, 2020",61M,"100,000,000+",2020.1.2.2.4,4.1 and up,In-App Purchases,https://policies.google.com/privacy
Alaskavinh,Music & Audio,"July 28, 2020",8.3M,"1,000,000+",3.9,4.1 and up,Alaskavinh,https://policies.google.com/privacy
Free Mp3 Music Downloader Apps,Music & Audio,"July 29, 2020",7.9M,"500,000+",1.0.3,4.4 and up,Free Mp3 Music Downloader Apps,https://sites.google.com/view/newmusic-privacy
Spotify Ltd.,Music & Audio,"August 13, 2020",10M,"10,000,000+",1.5.14.5,4.1 and up,Users Interact,https://www.spotify.com/legal/privacy-policy/
Gamma Gaana Ltd,Music & Audio,"August 13, 2020",24M,"100,000,000+",8.7.1,4.1 and up,In-App Purchases,http://api.gaana.com/index.php?type=privacy_policy
Best Free Music Player Apps,Music & Audio,"August 4, 2020",9.1M,"50,000,000+",1.408,4.2 and up,R$3.79 - R$10.99 per item,https://www.atplayer.com/privacy-policy.html
Studio Sol,Music & Audio,"July 29, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Studio Sol,https://policies.google.com/privacy
Castbox.FM - Radio & Podcast & AudioBooks,News & Magazines,"August 7, 2020",13M,"10,000,000+",6.4.0-200617118.rc73df2a,4.4 and up,Digital Purchases,https://policies.google.com/privacy
"Prasar Bharati (All India Radio, Doordarshan)",News & Magazines,"January 24, 2020",7.5M,"1,000,000+",30,4.1 and up,"Prasar Bharati (All India Radio, Doordarshan)",http://prasarbharati.gov.in/privacy.php
Zeno News,News & Magazines,"August 6, 2020",42M,"100,000+",4.4.6,4.1 and up,Zeno News,http://baruch.pro/BBCWorldService/privacy
Radio Jovem Pan,News & Magazines,"August 13, 2020",23M,"100,000+",1.0.37,5.0 and up,Radio Jovem Pan,https://policies.google.com/privacy
easyjam,News & Magazines,"April 11, 2020",5.9M,"500,000+",4.8,4.1 and up,easyjam,https://policies.google.com/privacy
France Médias Monde,News & Magazines,"June 9, 2020",10M,"1,000,000+",3.3.9,4.4 and up,France Médias Monde,https://www.francemediasmonde.com/privacy
Ciner Yayın Holding,News & Magazines,"April 6, 2020",15M,"1,000,000+",4.2.4,4.4 and up,Ciner Yayın Holding,http://www.haberturk.com/privacy
NDTV Official App,News & Magazines,"August 14, 2020",27M,"5,000,000+",5.0.5,5.0 and up,NDTV Official App,http://drop.ndtv.com/ndtv/apps/pages/privacy-policy.html
TV Today Network Limited,News & Magazines,"July 9, 2020",14M,"50,000,000+",8.76,4.4 and up,Users Interact,http://specials.indiatoday.com/common/privacypolicy/privacy.phtml
Al Jazeera Network,News & Magazines,"June 18, 2020",16M,"5,000,000+",4.8.2,4.2 and up,Al Jazeera Network,https://network.aljazeera.com/ar/privacy/ar
News Live TV Apps,News & Magazines,"May 12, 2020",5.0M,"500,000+",1.0.4,4.4 and up,News Live TV Apps,https://policies.google.com/privacy
PCCW Media Limited,News & Magazines,"July 27, 2020",21M,"1,000,000+",5.9.1,4.3 and up,PCCW Media Limited,https://policies.google.com/privacy
IndiaTV,News & Magazines,"May 25, 2020",17M,"1,000,000+",6.2,4.4 and up,IndiaTV,https://www.indiatvnews.com/cms/privacy-policy
ZEE MEDIA CORPORATION LTD,News & Magazines,"July 23, 2020",18M,"5,000,000+",6.1.0,5.0 and up,Users Interact,http://zeenews.india.com/privacypolicy.html
Reach plc.,News & Magazines,"August 10, 2020",59M,"100,000+",2.90,5.0 and up,Reach plc.,https://www.inyourarea.co.uk/news/privacy-notice/
"FOX News Network, LLC",News & Magazines,"July 31, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,"FOX News Network, LLC",http://www.foxnews.com/about/privacy-policy/
OGQ for iconnect.,Personalization,"December 20, 2019",23M,"10,000,000+",2.4.36,4.0.3 and up,OGQ for iconnect.,https://policies.google.com/privacy
Super Launcher Serie,Personalization,"July 10, 2020",8.2M,"1,000,000+",2.7,4.0 and up,In-App Purchases,https://supera.oss-ap-southeast-1.aliyuncs.com/privacy.html
Android Does Team,Personalization,"October 14, 2019",12M,"1,000,000+",3.4.2,4.1 and up,Android Does Team,http://apexlauncher.com/privacy/
SS App,Personalization,"February 23, 2019",2.2M,"1,000,000+",1.1.2,4.1 and up,SS App,http://appprivacypolicy.oss-us-west-1.aliyuncs.com/launcher.html
Julian Eggers,Personalization,"July 22, 2020",4.0M,"10,000,000+",2.14,4.4 and up,R$4.59 - R$22.99 per item,https://darkmode.maju.systems/privacy_policy
RayJayFro,Personalization,"July 4, 2020",13M,"5,000,000+",4.6,4.2 and up,RayJayFro,https://policies.google.com/privacy
Nice Ringtones,Personalization,"June 28, 2020",14M,"10,000,000+",1.5,4.0 and up,Nice Ringtones,https://policies.google.com/privacy
Dream_Studio,Personalization,"June 12, 2020",18M,"10,000,000+",8.5,4.1 and up,Dream_Studio,http://abc.jupe.pl/privacy_policy/
Microsoft Corporation,Personalization,"August 7, 2020",37M,"10,000,000+",5.11.5.56362,4.2 and up,Shares Location,https://policies.google.com/privacy
Amil Assistência Médica Internacional S/A,Medical,"August 7, 2020",92M,"1,000,000+",4.29.01,6.0 and up,Amil Assistência Médica Internacional S/A,https://policies.google.com/privacy
Big Bang Inc.,Personalization,"August 9, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Big Bang Inc.,https://policies.google.com/privacy
Vinwap,Personalization,"August 10, 2020",11M,"5,000,000+",3.0.2,4.1 and up,"Users Interact, In-App Purchases",http://vinwap.co.uk/glitter/privacy_policy.html
YuRimpapa,Parenting,"Eligible if bought after 7/2/2016.
","July 30, 2020",22M,"1,000+",1.3.3,4.4 and up,https://policies.google.com/privacy
Clanrye Apps,Parenting,"Eligible if bought after 7/2/2016.
","June 5, 2020",45M,"5,000+",1.0,5.0 and up,https://policies.google.com/privacy
CLEVERBIT,Parenting,"May 25, 2019",Varies with device,"10,000+",Varies with device,Varies with device,CLEVERBIT,http://cleverbit.net/en/privacy-policy.htm
Urbandroid (Petr Nálevka),Parenting,"September 28, 2019",409k,"10,000+",2.0,4.0 and up,Urbandroid (Petr Nálevka),https://sites.google.com/site/urbandroidteam/privacy
TappyTaps s.r.o.,Parenting,"June 10, 2020",12M,"100,000+",5.6.0,4.1 and up,TappyTaps s.r.o.,http://www.babymonitor3g.com/privacy-policies/
Cosmic Pie Design,Parenting,"Eligible if bought after 7/2/2016.
","July 28, 2019",6.7M,"10,000+",1.0,6.0 and up,https://policies.google.com/privacy
Seacloud Software,Parenting,"August 8, 2020",17M,"100,000+",8.1.2,5.0 and up,Users Interact,https://www.babyconnect.com/privacy
GeoLoc,Parenting,"July 8, 2020",Varies with device,"500,000+",Varies with device,Varies with device,"Users Interact, Shares Location, Digital Purchases",https://kristi.travel/geoloc/privacy_policy.html
Microsoft Corporation,Parenting,"July 17, 2020",Varies with device,"100,000+",1.0.0.493,6.0 and up,"Shares Location, In-App Purchases",https://privacy.microsoft.com/en-us/privacystatement
emobi.com.ar,Parenting,"December 30, 2019",6.1M,"100,000+",182,4.1 and up,"Users Interact, Shares Location, Digital Purchases",https://policies.google.com/privacy
Kids security LLP,Parenting,"July 17, 2020",34M,"100,000+",1.194,5.0 and up,"Users Interact, In-App Purchases",https://kidsecurity.net/privacy_policy/eng
KidControl Dev.,Parenting,"June 2, 2020",12M,"1,000,000+",k5.2.14,4.1 and up,"Users Interact, Shares Location, Digital Purchases",https://kid-control.com/privacy-policy/
GEO TRACK TECHNOLOGIES INC,Parenting,"August 11, 2020",35M,"10,000,000+",2.2.41,5.0 and up,Shares Location,https://findmykids.org/docs/privacy-policy/android/en/
VideoShow EnjoyMobi Video Editor & Video Maker Inc,Photography,"August 10, 2020",16M,"1,000,000+",2.0.1,4.1 and up,Digital Purchases,http://file.enjoy-global.com/privacy/CollageMaker_Privacy_Policy.html
RG Mobile,Parenting,"July 28, 2020",27M,"500,000+",1.6.6,4.4 and up,"Users Interact, Shares Location, Digital Purchases",https://policies.google.com/privacy
MeiHillMan,Photography,"July 18, 2020",15M,"10,000,000+",2.1.00,4.1 and up,MeiHillMan,http://privacypolicy-meihillman.blogspot.com
Instagram,Photography,"October 29, 2018",Varies with device,"100,000,000+",1.3.11,Varies with device,Instagram,https://instagram.com/about/legal/privacy/
A Photo Studio,Photography,"January 10, 2020",11M,"5,000,000+",1.4.0,4.1 and up,R$12.99 per item,https://aphotostudio.tumblr.com/post/178885611468/privacy-policy
Friendzy Limited,Parenting,"July 15, 2020",13M,"1,000,000+",1.6.4,5.0 and up,Shares Location,https://policies.google.com/privacy
Wokka Lokka,Parenting,"July 8, 2020",Varies with device,"100,000+",2.4.15,4.1 and up,"Users Interact, Shares Location, Digital Purchases",http://web.wokkalokka.com/docs/privacy_policy.pdf
ImageArt Inc.,Photography,"August 13, 2020",14M,"1,000,000+",2.4.5,4.1 and up,ImageArt Inc.,https://policies.google.com/privacy
Photo Editor & Collage Maker,Photography,"August 10, 2020",16M,"10,000,000+",1.28.92,4.4 and up,In-App Purchases,https://policies.google.com/privacy
"Cardinal Blue Software, Inc.",Photography,"August 7, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Users Interact,http://cardinalblue.com/privacy
Photo Editor & Collage Maker,Photography,"August 7, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,R$3.79 - R$30.99 per item,https://policies.google.com/privacy
Square Quick & Pic Collage Maker,Photography,"August 14, 2020",18M,"10,000,000+",4.12.1,4.2 and up,In-App Purchases,https://policies.google.com/privacy
Lyrebird Studio,Photography,"July 21, 2020",Varies with device,"10,000,000+",1.5.2,Varies with device,R$5.49 - R$119.00 per item,http://lyrebirdstudio.net/privacy.txt
Panasonic Corporation,Photography,"April 6, 2020",32M,"1,000,000+",1.10.17,4.4 and up,Panasonic Corporation,https://policies.google.com/privacy
ANUJ TENANI,Photography,"December 16, 2019",11M,"10,000,000+",8.4,4.1 and up,R$4.89 - R$27.99 per item,http://hideitpro.com/privacy_policy.html
Legendary Software Labs LLC,Photography,"January 14, 2019",25M,"10,000,000+",2.3.1,4.1 and up,Digital Purchases,https://privatephotovault.com/privacy-policy/
GamoZone,Photography,"August 14, 2020",5.8M,"5,000,000+",1.1.64,4.1 and up,R$16.99 per item,https://gamozoneprivacypolicy.wordpress.com/gallery-privacy-policy/
Safe Apps Inc,News & Magazines,"August 11, 2020",13M,"1,000,000+",10.5.15,4.2 and up,Safe Apps Inc,http://bng.areclipse.com/privacy/
Google LLC,Music & Audio,"May 26, 2020",Varies with device,"5,000,000,000+",Varies with device,Varies with device,In-App Purchases,http://www.google.com/policies/privacy
Starry Sky Mobi,News & Magazines,"August 8, 2020",14M,"100,000+",1.0.24,5.0 and up,Starry Sky Mobi,https://policies.google.com/privacy
NDTV Official App,News & Magazines,"August 14, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,R$0.99 - R$38.99 per item,http://drop.ndtv.com/ndtv/apps/pages/privacy-policy.html
Safe Apps Inc,News & Magazines,"August 11, 2020",13M,"1,000,000+",10.5.15,4.2 and up,Safe Apps Inc,http://bng.areclipse.com/privacy/
Way2online ( Formerly Way2SMS ),News & Magazines,"August 13, 2020",13M,"10,000,000+",7.7,4.2 and up,Way2online ( Formerly Way2SMS ),http://way2news.com/privacy_policy.html
tvb.com,News & Magazines,"August 11, 2020",74M,"1,000,000+",2.4.1,5.0 and up,tvb.com,https://policies.google.com/privacy
Sing Tao Ltd,News & Magazines,"August 3, 2020",8.0M,"1,000,000+",3.2.7,4.0.3 and up,Sing Tao Ltd,http://hd.stheadline.com/privacy_hlapp_an.php
Inshorts,News & Magazines,"August 7, 2020",Varies with device,"10,000,000+",2.20.2,4.1 and up,Inshorts,http://publicapp.co.in/privacy_policy
Kazi iT Studio,News & Magazines,"August 12, 2020",6.7M,"500,000+",1.2.0,4.1 and up,Kazi iT Studio,https://policies.google.com/privacy
Safe Apps MVPs,News & Magazines,"August 11, 2020",13M,"1,000,000+",10.5.15,4.2 and up,Safe Apps MVPs,http://bng.areclipse.com/privacy/
Daily Mail Online,News & Magazines,"August 14, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,"Users Interact, In-App Purchases",https://www.dailymail.co.uk/privacy
UOL Inc.,News & Magazines,"June 24, 2020",12M,"1,000,000+",3.2.0,4.1 and up,UOL Inc.,https://policies.google.com/privacy
CNN,News & Magazines,"July 13, 2020",45M,"10,000,000+",6.10.1,5.0 and up,Users Interact,https://www.cnn.com/privacy
Next Mobile Limited,News & Magazines,"August 14, 2020",29M,"5,000,000+",5.8.3,6.0 and up,Users Interact,http://www.nextdigital.com.hk/info/privacy.html
"Dailyhunt - India ka app, India ke liye!",News & Magazines,"July 30, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Users Interact,http://www.dailyhunt.in/privacy/
Globo Comunicação e Participações S.A.,News & Magazines,"August 10, 2020",45M,"1,000,000+",5.0.4,5.0 and up,Globo Comunicação e Participações S.A.,https://policies.google.com/privacy
"Twitter, Inc.",News & Magazines,"August 10, 2020",Varies with device,"1,000,000,000+",Varies with device,Varies with device,"Users Interact, Shares Location",http://twitter.com/privacy
"SmartNews, Inc.",News & Magazines,"July 31, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,"SmartNews, Inc.",https://www.smartnews.com/privacy
Shalltry Group,Personalization,"August 6, 2020",17M,"50,000,000+",4.0.028.2,5.0 and up,Shalltry Group,https://policies.google.com/privacy
WallpapersCraft | WallCraft,Personalization,"August 10, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,In-App Purchases,https://volkraft.com/privacy_policy
Okapps,Personalization,"August 8, 2020",5.0M,"10,000,000+",5.5,4.1 and up,Okapps,https://www.okappz.com//privacy-policy/
Sunny Lighting,Personalization,"August 13, 2020",4.2M,"10,000,000+",8.6,4.2 and up,R$4.49 per item,https://policies.google.com/privacy
Zedge,Personalization,"August 12, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,In-App Purchases,https://zedge.net/privacy
5G Apps Studio,Personalization,"July 15, 2020",7.0M,"5,000,000+",8.1,4.1 and up,Digital Purchases,https://policies.google.com/privacy
Hide Apps (NO ROOT),Personalization,"July 29, 2019",1.2M,"500,000+",4.2.5,4.0.3 and up,Hide Apps (NO ROOT),https://policies.google.com/privacy
lock screen passcode,Personalization,"September 11, 2019",6.7M,"10,000,000+",4.0,4.1 and up,lock screen passcode,http://bsoftjsc.com/pr/privacy_policy.html
Brink Technologies,Personalization,"June 23, 2020",5.1M,"1,000,000+",3.6,5.0 and up,Digital Purchases,https://brink-tech.com/privacy.html
KIDSCRAPE PTE. LTD.,Personalization,"May 18, 2020",7.8M,"100,000+",1.0.20051500 GP RELEASE,4.2 and up,R$4.99 - R$8.99 per item,https://policies.google.com/privacy
iJoysoft,Personalization,"July 10, 2020",4.4M,"1,000,000+",1.6.8,4.1 and up,iJoysoft,https://s3.amazonaws.com/ijoysoftprivacy/AppPrivacy.txt
Hide Apps (NO ROOT),Personalization,"July 22, 2020",12M,"10,000,000+",2.6.8_534bb8db1,5.0 and up,R$7.99 per item,https://policies.google.com/privacy
LuuTinh Developer,Personalization,"January 21, 2020",2.9M,"5,000,000+",1.3.8,5.0 and up,LuuTinh Developer,https://policies.google.com/privacy
Donna Danley,Personalization,"March 6, 2019",3.4M,"10,000,000+",55.0,4.0 and up,R$5.99 per item,https://donnadanley247.wordpress.com/gallerylock-privacy
Dream_Studio,Parenting,"April 17, 2020",54M,"1,000,000+",4.2,4.1 and up,Dream_Studio,http://abc.jupe.pl/privacy_policy/
audio stories books and songs,Parenting,"June 18, 2020",44M,"100,000+",2.46.20122,5.0 and up,Digital Purchases,https://policies.google.com/privacy
Urbandroid (Petr Nálevka),Parenting,"August 11, 2020",3.7M,"1,000,000+",3.2,4.0 and up,Urbandroid (Petr Nálevka),http://team.urbandroid.org/privacy-policy/
Vilendoo - Audio Stories for Kids,Parenting,"June 18, 2020",41M,"500,000+",2.46.20123,5.0 and up,In-App Purchases,https://policies.google.com/privacy
Premium Software,Parenting,"March 19, 2020",7.7M,"50,000+",4.1,4.1 and up,Premium Software,http://sqraz.com/privacy_policy/
Parents2ParentsApps,Parenting,"April 14, 2020",93M,"500,000+",3.6,4.1 and up,Digital Purchases,http://www.parents2parentsapps.com/privacy.html
Michał Šrajer,Parenting,"May 7, 2019",9.2M,"100,000+",1.7.2,4.1 and up,Michał Šrajer,https://babynoise.trpaslik.pl/privacy.html
NIGHP SOFTWARE,Parenting,"September 29, 2019",17M,"1,000,000+",2.11,4.1 and up,R$15.81 per item,http://nighp.com/babytracker/privacy.html
Sakabou Inc.,Parenting,"August 3, 2020",39M,"100,000+",6.3.3,5.0 and up,Users Interact,http://www.sakabou.co.jp/app/piyolog/privacy_en.html
해빛,Parenting,"July 20, 2020",9.3M,"500,000+",7.5.3,5.0 and up,R$5.49 - R$83.99 per item,https://www.chaisplay.com/privacy
BabyBus,Parenting,"June 24, 2020",47M,"1,000,000+",8.43.00.10,4.2 and up,BabyBus,http://en.babybus.com/index/privacyPolicy.shtml
Roosa Soft™,Parenting,"June 24, 2020",64M,"100,000+",0.50,4.1 and up,R$3.59 - R$14.99 per item,https://ryncetin.wixsite.com/istudio/home/bebek-men%C3%BCleri-privacy-policy
Google LLC,Photography,"August 10, 2020",Varies with device,"10,000,000+",1.1.11.323309981 release,8.0 and up,Users Interact,http://www.google.com/policies/privacy
Google LLC,Photography,"April 14, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Google LLC,http://www.google.com/policies/privacy/
Adobe,Photography,"July 10, 2020",Varies with device,"100,000,000+",5.3.1,5.0 and up,Users Interact,http://www.adobe.com/go/privacy_policy
PicsArt,Photography,"August 11, 2020",Varies with device,"500,000,000+",Varies with device,Varies with device,"Users Interact, In-App Purchases",https://picsart.com/privacy-policy
Canon Inc.,Photography,"July 9, 2020",12M,"10,000,000+",Varies with device,Varies with device,Canon Inc.,https://global.canon/en/privacy/apps.html
fourchars,Photography,"July 24, 2020",8.3M,"5,000,000+",4.3.3c4 Gemini,4.4 and up,Digital Purchases,https://lockmypix.com/privacy/
Kinedu,Parenting,"August 8, 2020",25M,"1,000,000+",1.26.1,5.0 and up,"Users Interact, Digital Purchases",https://blog.kinedu.com/privacy-policy/
Sweet Snap Studio,Photography,"August 13, 2020",38M,"100,000,000+",4.3.100580,4.1 and up,"Users Interact, Shares Location, In-App Purchases",https://policies.google.com/privacy
SX-WebSolutions & Marketing GmbH,Parenting,"August 14, 2020",42M,"100,000+",1.221,4.4 and up,R$11.99 per item,https://policies.google.com/privacy
Mark Harman,Photography,"July 13, 2020",2.7M,"10,000,000+",1.48.2,4.0.3 and up,Shares Location,https://opencamera.org.uk/privacy_oc.html
Selfie Camera & Photo Editor & Beauty Snap,Photography,"August 4, 2020",58M,"100,000,000+",3.14.1235,4.1 and up,"Users Interact, Shares Location, In-App Purchases",https://policies.google.com/privacy
HD Camera,Photography,"May 25, 2019",Varies with device,"10,000,000+",Varies with device,4.0.3 and up,HD Camera,https://policies.google.com/privacy
InShot Inc.,Photography,"August 11, 2020",14M,"50,000,000+",1.284.68,4.4 and up,Digital Purchases,https://policies.google.com/privacy
Facemoji Emoji Keyboard & Keyboard Theme,Personalization,"August 5, 2020",25M,"1,000,000+",2.5.7.4,4.2 and up,Users Interact,https://www.facemojikeyboard.com/page/xiaomi/privacy.html
Facemoji Emoji Keyboard & Keyboard Theme,Personalization,"January 3, 2020",11M,"5,000,000+",2.5.3.1,4.0.3 and up,Facemoji Emoji Keyboard & Keyboard Theme,https://www.facemojikeyboard.com/page/privacy/googleplay/privacy.html
Tomato Games MK,Personalization,"February 26, 2020",3.1M,"1,000,000+",6.1,4.1 and up,Tomato Games MK,http://privacy.tomatogames.top
